entity	frequency
a century ago	3
everyday	6
the 1930s	10
last Friday	5
last October	7
2035	9
2030	123
the past 25 years	5
Later this year	4
week	26
recent days	5
centuries	13
May 18	5
yesterday	83
within years	4
March 2018	7
1979	4
the end of the year	9
March 2016	7
1973	6
1971	6
each year	19
47	4
the late 1990s	6
1950	6
summer	13
one-year	4
May 2017	4
21st century	4
Sunday	59
weekly	31
the last five years	4
the next day	7
Friday	90
Robots	4
last July	4
the end of next year	5
the next decade	40
74 this month	4
Asimov	11
the year 2050	7
the last decade	11
every year	15
five to ten years	4
This Day	8
15-year-old	7
January 7	7
58	4
the early days	15
57	7
all day	4
50	4
annually	11
this month	46
an era	7
decades ago	3
next year	40
two years ago	21
Remembrance Day	4
the following two years	8
the 21st century	29
the 19th century	11
the year before	4
just a month	3
2070	7
the next 20 years	13
ten years	5
last November	5
Last May	4
early days	7
Daily	21
two months	7
1930	9
two decades	5
August	60
five years	24
the days	12
November 2018	4
April	88
December	64
months	44
coming years	7
a year earlier	3
the past few decades	4
a few months ago	4
four weeks	4
the next two decades	8
the first nine months	4
just weeks	10
a century	7
this day	6
multiple years	5
1984	12
1985	6
1982	4
1983	8
1980	4
the next 50 years	7
the next three years	7
one day	85
several decades	6
November	52
many years	35
January	62
Holocaust	5
May 2015	4
the coming decade	5
as few as five years	8
a couple of years	9
18 to 55	5
the next five to 10 years	5
the next 25 years	7
three days	7
later this month	9
this weekend	5
the end of this month	5
less than a decade	4
Thursday	152
One day	13
one year	6
This summer	7
48	7
49	7
May	80
50 years	24
44	4
Yesterday	13
40	6
the early 2000s	4
each month	6
2007	20
Just this week	4
February	63
the last year	8
AI	326
the months	7
a year ago	7
that year	4
weekend	4
10 years	18
May.	18
daily	94
2002	13
2003	6
2000	14
2001	31
2006	10
the 20th century	10
2004	21
2005	19
2008	36
2009	35
