type,month,value,index,monthNumeric,monthName,year,fullName,timecode
not critic,janv-15,260.6666667,0,0,Janvier,2015,Janvier 2015,1420153200000
not critic,fﾎvr-15,267.25,1,1,Février,2015,Février 2015,1422831600000
not critic,mars-15,270,2,2,Mars,2015,Mars 2015,1425250800000
not critic,avr-15,273.4,3,3,Avril,2015,Avril 2015,1427925600000
not critic,mai-15,283,4,4,Mai,2015,Mai 2015,1430517600000
not critic,juin-15,282.6,5,5,Juin,2015,Juin 2015,1433196000000
not critic,juil-15,290.6,6,6,Juillet,2015,Juillet 2015,1435788000000
not critic,aoﾞt-15,307.8,7,7,Août,2015,Août 2015,1438466400000
not critic,sept-15,314.4,8,8,Septembre,2015,Septembre 2015,1441144800000
not critic,oct-15,334.8,9,9,Octobre,2015,Octobre 2015,1443736800000
not critic,nov-15,357.6,10,10,Novembre,2015,Novembre 2015,1446418800000
not critic,dﾎc-15,368.4,11,11,Décembre,2015,Décembre 2015,1449010800000
not critic,janv-16,390.6,12,0,Janvier,2016,Janvier 2016,1451689200000
not critic,fﾎvr-16,420.8,13,1,Février,2016,Février 2016,1454367600000
not critic,mars-16,447.2,14,2,Mars,2016,Mars 2016,1456873200000
not critic,avr-16,479.4,15,3,Avril,2016,Avril 2016,1459548000000
not critic,mai-16,489.8,16,4,Mai,2016,Mai 2016,1462140000000
not critic,juin-16,479,17,5,Juin,2016,Juin 2016,1464818400000
not critic,juil-16,471,18,6,Juillet,2016,Juillet 2016,1467410400000
not critic,aoﾞt-16,481,19,7,Août,2016,Août 2016,1470088800000
not critic,sept-16,457.6,20,8,Septembre,2016,Septembre 2016,1472767200000
not critic,oct-16,446.6,21,9,Octobre,2016,Octobre 2016,1475359200000
not critic,nov-16,427.6,22,10,Novembre,2016,Novembre 2016,1478041200000
not critic,dﾎc-16,420.8,23,11,Décembre,2016,Décembre 2016,1480633200000
not critic,janv-17,396.6,24,0,Janvier,2017,Janvier 2017,1483311600000
not critic,fﾎvr-17,396,25,1,Février,2017,Février 2017,1485990000000
not critic,mars-17,404.4,26,2,Mars,2017,Mars 2017,1488409200000
not critic,avr-17,424.8,27,3,Avril,2017,Avril 2017,1491084000000
not critic,mai-17,420.4,28,4,Mai,2017,Mai 2017,1493676000000
not critic,juin-17,412,29,5,Juin,2017,Juin 2017,1496354400000
not critic,juil-17,417.4,30,6,Juillet,2017,Juillet 2017,1498946400000
not critic,aoﾞt-17,442,31,7,Août,2017,Août 2017,1501624800000
not critic,sept-17,463.4,32,8,Septembre,2017,Septembre 2017,1504303200000
not critic,oct-17,464.8,33,9,Octobre,2017,Octobre 2017,1506895200000
not critic,nov-17,494.8,34,10,Novembre,2017,Novembre 2017,1509577200000
not critic,dﾎc-17,494.2,35,11,Décembre,2017,Décembre 2017,1512169200000
not critic,janv-18,502.6,36,0,Janvier,2018,Janvier 2018,1514847600000
not critic,fﾎvr-18,506.6,37,1,Février,2018,Février 2018,1517526000000
not critic,mars-18,539.6,38,2,Mars,2018,Mars 2018,1519945200000
not critic,avr-18,536.2,39,3,Avril,2018,Avril 2018,1522620000000
not critic,mai-18,529,40,4,Mai,2018,Mai 2018,1525212000000
not critic,juin-18,511.6,41,5,Juin,2018,Juin 2018,1527890400000
not critic,juil-18,517.8,42,6,Juillet,2018,Juillet 2018,1530482400000
not critic,aoﾞt-18,527.8,43,7,Août,2018,Août 2018,1533160800000
not critic,sept-18,543,44,8,Septembre,2018,Septembre 2018,1535839200000
not critic,oct-18,548.4,45,9,Octobre,2018,Octobre 2018,1538431200000
not critic,nov-18,570.6,46,10,Novembre,2018,Novembre 2018,1541113200000
not critic,dﾎc-18,570.2,47,11,Décembre,2018,Décembre 2018,1543705200000
not critic,janv-19,555.2,48,0,Janvier,2019,Janvier 2019,1546383600000
not critic,fﾎvr-19,556.2,49,1,Février,2019,Février 2019,1549062000000
not critic,mars-19,579.6,50,2,Mars,2019,Mars 2019,1551481200000
not critic,avr-19,560.4,51,3,Avril,2019,Avril 2019,1554156000000
not critic,mai-19,552.8,52,4,Mai,2019,Mai 2019,1556748000000
not critic,juin-19,561,53,5,Juin,2019,Juin 2019,1559426400000
not critic,juil-19,549.4,54,6,Juillet,2019,Juillet 2019,1562018400000
not critic,aoﾞt-19,549,55,7,Août,2019,Août 2019,1564696800000
not critic,sept-19,554.6,56,8,Septembre,2019,Septembre 2019,1567375200000
not critic,oct-19,539.4,57,9,Octobre,2019,Octobre 2019,1569967200000
not critic,nov-19,532.5,58,10,Novembre,2019,Novembre 2019,1572649200000
not critic,dﾎc-19,524.3333333,59,11,Décembre,2019,Décembre 2019,1575241200000
critic,janv-15,22.66666667,0,0,Janvier,2015,Janvier 2015,1420153200000
critic,fﾎvr-15,19.25,1,1,Février,2015,Février 2015,1422831600000
critic,mars-15,20.4,2,2,Mars,2015,Mars 2015,1425250800000
critic,avr-15,18.2,3,3,Avril,2015,Avril 2015,1427925600000
critic,mai-15,20.6,4,4,Mai,2015,Mai 2015,1430517600000
critic,juin-15,20,5,5,Juin,2015,Juin 2015,1433196000000
critic,juil-15,20.4,6,6,Juillet,2015,Juillet 2015,1435788000000
critic,aoﾞt-15,19,7,7,Août,2015,Août 2015,1438466400000
critic,sept-15,16.6,8,8,Septembre,2015,Septembre 2015,1441144800000
critic,oct-15,13.8,9,9,Octobre,2015,Octobre 2015,1443736800000
critic,nov-15,15.4,10,10,Novembre,2015,Novembre 2015,1446418800000
critic,dﾎc-15,17.6,11,11,Décembre,2015,Décembre 2015,1449010800000
critic,janv-16,26.4,12,0,Janvier,2016,Janvier 2016,1451689200000
critic,fﾎvr-16,28.6,13,1,Février,2016,Février 2016,1454367600000
critic,mars-16,39.6,14,2,Mars,2016,Mars 2016,1456873200000
critic,avr-16,44.6,15,3,Avril,2016,Avril 2016,1459548000000
critic,mai-16,42.8,16,4,Mai,2016,Mai 2016,1462140000000
critic,juin-16,37.4,17,5,Juin,2016,Juin 2016,1464818400000
critic,juil-16,39.4,18,6,Juillet,2016,Juillet 2016,1467410400000
critic,aoﾞt-16,33.8,19,7,Août,2016,Août 2016,1470088800000
critic,sept-16,28.6,20,8,Septembre,2016,Septembre 2016,1472767200000
critic,oct-16,32,21,9,Octobre,2016,Octobre 2016,1475359200000
critic,nov-16,28.2,22,10,Novembre,2016,Novembre 2016,1478041200000
critic,dﾎc-16,26,23,11,Décembre,2016,Décembre 2016,1480633200000
critic,janv-17,22.4,24,0,Janvier,2017,Janvier 2017,1483311600000
critic,fﾎvr-17,26.8,25,1,Février,2017,Février 2017,1485990000000
critic,mars-17,26.4,26,2,Mars,2017,Mars 2017,1488409200000
critic,avr-17,27,27,3,Avril,2017,Avril 2017,1491084000000
critic,mai-17,27,28,4,Mai,2017,Mai 2017,1493676000000
critic,juin-17,31,29,5,Juin,2017,Juin 2017,1496354400000
critic,juil-17,30.4,30,6,Juillet,2017,Juillet 2017,1498946400000
critic,aoﾞt-17,32.8,31,7,Août,2017,Août 2017,1501624800000
critic,sept-17,40.8,32,8,Septembre,2017,Septembre 2017,1504303200000
critic,oct-17,43.4,33,9,Octobre,2017,Octobre 2017,1506895200000
critic,nov-17,44,34,10,Novembre,2017,Novembre 2017,1509577200000
critic,dﾎc-17,48,35,11,Décembre,2017,Décembre 2017,1512169200000
critic,janv-18,49.2,36,0,Janvier,2018,Janvier 2018,1514847600000
critic,fﾎvr-18,52.6,37,1,Février,2018,Février 2018,1517526000000
critic,mars-18,57.6,38,2,Mars,2018,Mars 2018,1519945200000
critic,avr-18,57.4,39,3,Avril,2018,Avril 2018,1522620000000
critic,mai-18,53.8,40,4,Mai,2018,Mai 2018,1525212000000
critic,juin-18,52,41,5,Juin,2018,Juin 2018,1527890400000
critic,juil-18,47,42,6,Juillet,2018,Juillet 2018,1530482400000
critic,aoﾞt-18,45,43,7,Août,2018,Août 2018,1533160800000
critic,sept-18,43.4,44,8,Septembre,2018,Septembre 2018,1535839200000
critic,oct-18,42.8,45,9,Octobre,2018,Octobre 2018,1538431200000
critic,nov-18,44,46,10,Novembre,2018,Novembre 2018,1541113200000
critic,dﾎc-18,41.2,47,11,Décembre,2018,Décembre 2018,1543705200000
critic,janv-19,39.6,48,0,Janvier,2019,Janvier 2019,1546383600000
critic,fﾎvr-19,40,49,1,Février,2019,Février 2019,1549062000000
critic,mars-19,41.6,50,2,Mars,2019,Mars 2019,1551481200000
critic,avr-19,39.2,51,3,Avril,2019,Avril 2019,1554156000000
critic,mai-19,38.4,52,4,Mai,2019,Mai 2019,1556748000000
critic,juin-19,36.8,53,5,Juin,2019,Juin 2019,1559426400000
critic,juil-19,36.4,54,6,Juillet,2019,Juillet 2019,1562018400000
critic,aoﾞt-19,36.2,55,7,Août,2019,Août 2019,1564696800000
critic,sept-19,40.8,56,8,Septembre,2019,Septembre 2019,1567375200000
critic,oct-19,40,57,9,Octobre,2019,Octobre 2019,1569967200000
critic,nov-19,41.75,58,10,Novembre,2019,Novembre 2019,1572649200000
critic,dﾎc-19,42.33333333,59,11,Décembre,2019,Décembre 2019,1575241200000
Total,janv-15,584.3333333,0,0,Janvier,2015,Janvier 2015,1420153200000
Total,fﾎvr-15,588.5,1,1,Février,2015,Février 2015,1422831600000
Total,mars-15,593.4,2,2,Mars,2015,Mars 2015,1425250800000
Total,avr-15,595.6,3,3,Avril,2015,Avril 2015,1427925600000
Total,mai-15,608.6,4,4,Mai,2015,Mai 2015,1430517600000
Total,juin-15,608.6,5,5,Juin,2015,Juin 2015,1433196000000
Total,juil-15,618,6,6,Juillet,2015,Juillet 2015,1435788000000
Total,aoﾞt-15,634.8,7,7,Août,2015,Août 2015,1438466400000
Total,sept-15,640,8,8,Septembre,2015,Septembre 2015,1441144800000
