entity,robots,algorithms,nope,Robot norm,Algo norm,diff norm,diff,count_distinct,frequency
strike,0.8431094423,0.5377420091,1.380851451,0.610572152,0.389427848,-0.221144304,-0.3053674331,32,35
simulate,0.8362784369,0.5483050027,1.38458344,0.6039928061,0.3960071939,-0.2079856121,-0.2879734341,56,74
control,0.8323663585,0.554225807,1.386592166,0.6002964529,0.3997035471,-0.2005929057,-0.2781405515,192,244
die,0.8162393914,0.5777138183,1.39395321,0.585557238,0.414442762,-0.171114476,-0.2385255731,131,194
lock,0.8110672828,0.5849528722,1.396020155,0.5809853675,0.4190146325,-0.161970735,-0.2261144106,47,51
assist,0.7912843355,0.6114483629,1.402732698,0.5641020106,0.4358979894,-0.1282040212,-0.1798359726,60,70
defeat,0.7757725762,0.6310126068,1.406785183,0.5514506305,0.4485493695,-0.1029012611,-0.1447599694,26,34
mimic,0.7587146418,0.6514231285,1.41013777,0.5380429188,0.4619570812,-0.07608583754,-0.1072915133,98,122
hurt,0.7283682388,0.6851858935,1.413554132,0.5152743868,0.4847256132,-0.0305487737,-0.0431823453,41,45
affect,0.7120526867,0.7021260367,1.414178723,0.5035096872,0.4964903128,-0.007019374451,-0.00992665,247,322
govern,0.6853638809,0.7282007626,1.413564644,0.4848479226,0.5151520774,0.03030415475,0.0428368817,56,65
decide,0.66805654,0.7441105156,1.412167056,0.4730718914,0.5269281086,0.05385621715,0.0760539756,342,469
exacerbate,0.6532324136,0.7571574564,1.41038987,0.4631573351,0.5368426649,0.07368532986,0.1039250429,31,34
lie,0.5986985889,0.8009744063,1.399672995,0.4277417589,0.5722582411,0.1445164821,0.2022758174,114,155
spread,0.5959905696,0.8029914327,1.398982002,0.4260173245,0.5739826755,0.1479653511,0.2070008631,53,62
fail,0.573043934,0.8195246486,1.392568583,0.4115014091,0.5884985909,0.1769971818,0.2464807146,233,321
slam,0.5335709126,0.8457553317,1.379326244,0.3868344525,0.6131655475,0.2263310949,0.3121844191,29,33
discriminate,0.4958144531,0.8684284818,1.364242935,0.3634356026,0.6365643974,0.2731287949,0.3726140287,67,109
track,0.4593754134,0.8882422134,1.347617627,0.3408796414,0.6591203586,0.3182407172,0.4288668,144,215
rank,0.4274700137,0.904029528,1.331499542,0.3210440562,0.6789559438,0.3579118876,0.4765595143,49,69
hide,0.4271444921,0.904183379,1.331327871,0.3208409449,0.6791590551,0.3583181103,0.4770388868,131,168
manipulate,0.4254557332,0.9049792368,1.33043497,0.319786944,0.680213056,0.3604261121,0.4795235037,132,191
prejudice,0.3711129477,0.9285877342,1.299700682,0.2855372417,0.7144627583,0.4289255167,0.5574747865,16,24
target,0.3355004601,0.9420400423,1.277540502,0.2626143433,0.7373856567,0.4747713134,0.6065395823,194,340
skew,0.2930450517,0.9560986339,1.249143686,0.2345967522,0.7654032478,0.5308064956,0.6630535822,21,28
bias,0.2721450913,0.9622562285,1.23440132,0.2204672718,0.7795327282,0.5590654564,0.6901111372,120,196
mind,0.235804033,0.9718006267,1.20760466,0.1952659184,0.8047340816,0.6094681631,0.7359965936,12,20
spy,0.2268669043,0.9739257712,1.200792676,0.1889309528,0.8110690472,0.6221380944,0.7470588669,24,31
amplify,0.2185660112,0.9758221655,1.194388177,0.1829941182,0.8170058818,0.6340117636,0.7572561544,45,48
record,0.2050288185,0.9787559367,1.183784755,0.1731977183,0.8268022817,0.6536045635,0.7737271182,109,174
shoot,0.2008738133,0.9796171248,1.180490938,0.1701612497,0.8298387503,0.6596775006,0.7787433115,77,173
disclose,0.1780648088,0.9840187619,1.162083571,0.1532289185,0.8467710815,0.6935421629,0.8059539531,55,72
censor,0.1637795076,0.9864969705,1.150276478,0.1423827321,0.8576172679,0.7152345358,0.8227174629,56,89
deny,0.1548947128,0.9879309834,1.142825696,0.1355366031,0.8644633969,0.7289267938,0.8330362706,117,156
promote,0.1489870037,0.9888391541,1.137826158,0.130940041,0.869059959,0.7381199181,0.8398521504,187,323
suspect,0.1358760959,0.9907258382,1.126601934,0.1206070146,0.8793929854,0.7587859708,0.8548497424,111,210
profile,0.1204400954,0.9927205969,1.113160692,0.1081965041,0.8918034959,0.7836069918,0.8722805014,44,64
hate,0.0920443641,0.9957549071,1.087799271,0.0846152103,0.9153847897,0.8307695794,0.9037105431,98,207
suppress,0.0899213101,0.9959488732,1.085870183,0.08281036857,0.9171896314,0.8343792629,0.9060275631,63,94
delete,0.089799458,0.9959598673,1.085759325,0.08270659612,0.9172934039,0.8345868078,0.9061604093,126,202
filter,0.0819762149,0.9966342861,1.078610501,0.07600168441,0.9239983156,0.8479966312,0.9146580712,41,65
