"5 periods average";"janv-15";"fﾎvr-15";"mars-15";"avr-15";"mai-15";"juin-15";"juil-15";"aoﾞt-15";"sept-15";"oct-15";"nov-15";"dﾎc-15";"janv-16";"fﾎvr-16";"mars-16";"avr-16";"mai-16";"juin-16";"juil-16";"aoﾞt-16";"sept-16";"oct-16";"nov-16";"dﾎc-16";"janv-17";"fﾎvr-17";"mars-17";"avr-17";"mai-17";"juin-17";"juil-17";"aoﾞt-17";"sept-17";"oct-17";"nov-17";"dﾎc-17";"janv-18";"fﾎvr-18";"mars-18";"avr-18";"mai-18";"juin-18";"juil-18";"aoﾞt-18";"sept-18";"oct-18";"nov-18";"dﾎc-18";"janv-19";"fﾎvr-19";"mars-19";"avr-19";"mai-19";"juin-19";"juil-19";"aoﾞt-19";"sept-19";"oct-19";"nov-19";"dﾎc-19"
"False";260,6666667;267,25;270;273,4;283;282,6;290,6;307,8;314,4;334,8;357,6;368,4;390,6;420,8;447,2;479,4;489,8;479;471;481;457,6;446,6;427,6;420,8;396,6;396;404,4;424,8;420,4;412;417,4;442;463,4;464,8;494,8;494,2;502,6;506,6;539,6;536,2;529;511,6;517,8;527,8;543;548,4;570,6;570,2;555,2;556,2;579,6;560,4;552,8;561;549,4;549;554,6;539,4;532,5;524,3333333
"True";22,66666667;19,25;20,4;18,2;20,6;20;20,4;19;16,6;13,8;15,4;17,6;26,4;28,6;39,6;44,6;42,8;37,4;39,4;33,8;28,6;32;28,2;26;22,4;26,8;26,4;27;27;31;30,4;32,8;40,8;43,4;44;48;49,2;52,6;57,6;57,4;53,8;52;47;45;43,4;42,8;44;41,2;39,6;40;41,6;39,2;38,4;36,8;36,4;36,2;40,8;40;41,75;42,33333333
"Total";584,3333333;588,5;593,4;595,6;608,6;608,6;618;634,8;640;658,6;684;698;730;763,4;801,8;840;849,6;834,4;829,4;834,8;807,2;800,6;778,8;770,8;744;748,8;757,8;779,8;776,4;773;778,8;806,8;837,2;842,2;873,8;878,2;888,8;897,2;936,2;933,6;923,8;905,6;907,8;916,8;931,4;937,2;961,6;959,4;943,8;946,2;972,2;951,6;944,2;951,8;940,8;941,2;952,4;937,4;933,25;926,6666667
